,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
29073,2/13/2005 20:10,dhaka (bangladesh),,bd,unknown,60,1 minute,Unknown craft with string of colored blinking lights in night sky,2/22/2005,23.810332,90.412518
29074,2/13/2006 04:30,springtown/azle,tx,us,triangle,7200,2 hours,SAW BRIGHT LIGHT IN SKY THAT FOLLOWED ME.,2/14/2006,32.942190999999994,-97.579104
29086,2/13/2007 08:49,dungarvan (republic of ireland),,ie,disk,180,3 minutes,Long metallic saucer flies accross sky&#44 stops suddenly&#44 it stationary for a moment then disappears instantly.,2/24/2007,52.093676,-7.620363
29097,2/13/2008 20:15,safford &amp; duncan (between),az,us,disk,900,over 15 minutes,Several lights appearing in spherical shape above ground between Safford&#44 AZ &amp; Duncan&#44 AZ 20:15,2/14/2008,32.724899,-109.1074
29111,2/13/2009 21:00,thoiry (france),,fr,circle,30,30 seconds,UFO sighting in Thoiry FRANCE (near CERN),3/19/2009,48.865263,1.794903
29117,2/13/2009 22:14,chennai (india),,in,sphere,3,one and half hour,White spherical object revolving around its own axis having a random motion; from Chennai.  ((NUFORC Note:  &quot;Twinkling&quot; star?  PD)),3/19/2009,13.052414,80.250825
29126,2/13/2010 17:00,pasadena/los angeles,ca,us,triangle,30,30 secs,Triangle formation in the sky with two globes to the right of the triangle.,2/14/2010,34.147785,-118.144516
29131,2/13/2010 23:05,sharjah (u.a.e.),,ae,fireball,180,3 minutes,Fire ball like sighting in Sharjah&#44 UAE,2/14/2010,25.357522,55.391865
29133,2/13/2011 07:35,clementsport (canada),ns,ca,egg,3,3 seconds,The fastest thing I ever saw in the  daytime&#44 in the sky.,2/18/2011,44.666644,-65.61076800000001
29146,2/13/2012 20:15,rosetta (south africa),,eg,circle,900,15 minutes,Orb-like objects travelling across the sky followed by flashes of light.,3/13/2012,31.4,30.416666999999997
29167,2/13/2014 10:30,princeton/evansville,in,us,cylinder,300,5 minutes,Weird slow moving aircraft with bright lights,2/14/2014,37.99279,-87.507465
29169,2/13/2014 14:50,murfeesboro,tn,us,oval,3,2-3 seconds,Daytime object seen&#33,2/21/2014,35.845621,-86.39027
29174,2/13/2014 19:25,mercey hot springs/firebaugh,ca,us,light,60,1 minute,White Flashing Object Over Mercey Hot Springs For The Fourth Time&#33&#33,2/21/2014,36.858838,-120.456007
29188,2/14/1992 21:00,panajachel (near) (guatamala),,,unknown,900,15 minutes,4 of ORION&#39S stars obscured on a clear night at Lake Atitlan,5/24/2005,0.0,0.0
29189,2/14/1992 22:30,panajachel (near) (guatamala),,,changing,420,about 7 minutes,Beam of light follows me walking&#44 moves high into trees on cliffside&#44 seems to swivel as it fades out.,5/24/2005,0.0,0.0
29191,2/14/1995 19:45,klang (selangor) (malaysia),,my,fireball,480,8mins,The sun was setting&#44 was in car with my mother heading home from grocery store.saw floating fireballs like in the sky. tought they,2/12/2004,3.0430610000000002,101.440657
29198,2/14/1997 24:00,pichilemu (chile),,cl,circle,180,3 min,been in pichilemu coust of chile i sow a white cloud above over the sea that moves towards north changing the form from a cloud to a ci,3/4/2003,-34.386725,-72.004773
29202,2/14/1999 01:20,san juan island,wa,us,triangle,1500,approx 25 min.,triangle shaped object not moving in sky then suddenly darting about,4/26/1999,48.551367,-123.078106
29205,2/14/1999 17:00,mt. popocatepetl (mexico),,us,sphere,5400,90 minutes,Watching Live Video Cam of Popo at http://www.cenapred.unam.mx/UltimaImagenVolcan2.html,4/2/1999,43.916230999999996,-123.964
29206,2/14/1999 18:20,lewisville lake (se) (north of dallas),tx,us,light,1800,30 minutes,Saw two luminous lights changing color from white to redish to blue as they got larger and brighter then dimming to white - one ascendi,4/2/1999,33.109472,-96.971398
29207,2/14/1999 21:00,anza borrego desert,ca,us,disk,180,3 minutes,Traveling Westbound Interstate 8&#44 near the desert tower of Anza Borrego&#44 a glowing disc-shaped object appeared to land in on of the can,4/2/1999,33.100491999999996,-116.301327
29209,2/14/1999 23:00,ravenna/macedonia (i-80 ohio turnpike),oh,us,circle,2,seconds,A very bright green light traveing  vertically VERY fast &#44&#44 then dissapeared,4/2/1999,41.326436,-81.45947199999999
29213,2/14/2000 18:00,barocay island (philippines),,ph,light,1200,20min,The half-moon was directly over head&#44  it looked like a star&#44same brifgtness&#44 size&#44 moving n.e. 1st one 6;50 PM IT TOOK acount of 40 mi,2/16/2000,11.96735,121.92475900000001
29219,2/14/2001 09:25,mt. popocatepetl (mexico) live cam,,,disk,2100,35 minutes,For the past 3 days now I&#39ve seen some objects hovering over Popocatepetl Volcano for upwards of 15 minutes&#44 on the Cenapred live cam.,2/18/2001,0.0,0.0
29222,2/14/2001 21:40,kapiti coast (new zealand),,nz,light,180,3 minutes,Strange light changing size &amp; making zig-zag movements.,8/5/2001,-40.851875,174.914101
29227,2/14/2002 04:15,welshtown (canada),ns,ca,light,1920,32 minutes,Bright reddish  light that moved up and down &#44 side to side then disappeared.,2/22/2002,43.833333,-65.383333
29240,2/14/2003 07:20,karachi (pakistan),,pk,disk,0,,It was a white disk hovering very high up in the sky.,8/28/2003,24.861462,67.009939
29246,2/14/2003 23:15,bilbao (spain),,es,diamond,120,2 minutes,I was driving home&#44 from a party where I have been drinking a little. I was alone in the darkness when I suddenly saw a huge craft whic,3/4/2003,43.263013,-2.9349849999999997
29249,2/14/2004 04:00,caribbean (in a cruise) (mexico),,cu,light,900,15 mins,they werent planes they were UFOS,3/2/2004,21.469114,-78.656894
29280,2/14/2006 01:34,grafton,oh,us,changing,0,,ok here we go i was in grafton then at like 134  in the morning i heard a big bang and then i went out side to see what it was and i se,5/15/2006,41.272552000000005,-82.054589
29295,2/14/2007 19:00,costa da caparica (portugal),,pt,light,120,2 minutes,red light crossing the sky on the shoreline,2/24/2007,38.644684000000005,-9.233385
29297,2/14/2007 20:30,san ramon/danville,ca,us,disk,3600,approx. 1 hour,Red&#44 White and Blue Lights on Object Hovering over Dougherty Valley&#44 San Ramon area.  ((NUFORC Note:  Sirius.  PD)),2/24/2007,37.786531,-121.98096299999999
29307,2/14/2008 18:00,wall,nj,us,light,1200,15-20 mins,Flashing lights and a ball of light that left very quickly,3/4/2008,40.160667,-74.067975
29311,2/14/2008 20:00,caufield,mo,us,light,900,15 min,Farm dog barks at multiple lights over cattle ranch that hover silently then blink out and lights reappear in a different configuration,3/4/2008,36.614444,-92.105
29314,2/14/2009 00:00,smyrna mills/oakfield/island falls&#44 and patten,me,us,cigar,2,a few seconds,I personally&#44 was driving home from a boyfriend&#39s house while on the phone with him and noticed the sky light up bright blue for just a,3/19/2009,45.996439,-68.44614200000001
29317,2/14/2009 11:10,lisburn (northern ireland),,gb,oval,60,1 minute,Mach 3+ Oval&#44 Lisburn&#44 N. Ireland.,3/19/2009,54.509719999999994,-6.0374
29321,2/14/2009 16:44,hallandale,fl,us,light,120,2 minutes,Lights in the sky with 3 photos taken.,3/19/2009,25.981202,-80.148379
29322,2/14/2009 17:15,morden&#44 surrey (uk/england),,gb,circle,600,10 minuets +,Circular object[s] seen in skies NNW in Morden UK,3/19/2009,51.394943,-0.19446
29327,2/14/2009 21:30,carvoeiro (portugal),,pt,oval,600,10 minutes,Very Bright yellow light  high in the sky in Algarve,3/19/2009,37.098519,-8.469395
29329,2/14/2009 23:00,hengelo (the netherlands),,nl,fireball,120,2 minutes?,Rotating fireball changes direction and speed&#44 with a rotating arm.,3/19/2009,52.257412,6.792772
29330,2/14/2009 23:00,panama (in pacific ocean),,,light,0,cruise ship,zig zagged light travelling upwards like a Z and then zoomed very very fast in a straight line across the sky,3/19/2009,0.0,0.0
29336,2/14/2010 12:00,washington&#44 d.c.,dc,us,oval,0,unknown,Object spotted in photos of D.C.,4/13/2010,38.907231,-77.036464
29340,2/14/2010 22:35,al andalus (kuwait),,es,circle,120,1-2 min,slow moving light switched off before running away faster on lower level,4/13/2010,37.544271,-4.727753
29342,2/14/2011 00:00,valencia (spain),,,flash,1,1 sec,I heard a loud noise&#44 went to the the window to see what it was&#44 and to my surprise it was a UFO.,2/18/2011,0.0,0.0
29385,2/14/2014 09:10,janesville wi/near tripp road,wi,us,circle,30,30 seconds,Bright Green Circled Orb descending from sky...,2/21/2014,42.635311,-89.075533
29393,2/14/2014 20:00,ft. denaud,fl,us,circle,600,10 minutes,Bright circular object in North sky near Ft. Denaud&#44 FL.,3/18/2014,26.745455,-81.466826
29394,2/14/2014 20:30,greenacres,fl,us,sphere,152,152 seconds,Hovering objects in palm beach Florida,2/21/2014,26.627628,-80.13539
29410,2/15/1942 11:00,panama city (panama),,,disk,172800,several days,THIS HAPPENED TWO OR THREE MONTHS AFTER PEARL HARBOR. US ARMY HAVE SEVERAL MILITARY BASES IN PANAMA. AFTER DEC. 7 WE WERE SENT INTO BLA,9/6/2002,0.0,0.0
29422,2/15/1971 00:00,everglades (on aligator alley),fl,us,disk,2,2 seconds,Sighted while driving across the AlleyIt was about midnight and a UFO crossed the highway in front of me at very low altitude.It wa,11/20/2002,25.858244,-81.385069
29425,2/15/1973 22:00,lake okeechoobee,fl,us,unknown,1200,20min,2 WHAT looked LIKE stars STARTED to MAKE right AND LEFT ANGLES and GO real FAST seemed that they went around the earth and then stopped,1/28/1999,26.923519,-80.854385
29428,2/15/1975 21:00,mukwanago/genesee (between),wi,us,chevron,2400,40 minutes,Detailed sighting of Boomerang Shaped silent craft in Wisconsin in mid-70&#39s,7/5/2005,42.891092,-88.362785
29431,2/15/1977 02:30,ft. knox,ky,us,light,600,4 10 mins,5 white glowing balls,8/27/2009,37.883664,-85.96526899999999
29432,2/15/1977 20:00,joyce kilmer slickrock creek wilderness,nc,us,circle,1800,30 minutes,very large craft&#44 moving at the speed of light&#44 no sound&#44 lots of lights&#44 jet aircraft came to invesitgate.,4/16/2005,35.759572999999996,-79.0193
29435,2/15/1978 10:00,st.thomas (u. s. virgin islands),,us,disk,130,130 seconds,Visible in the mid-day,12/7/2006,18.335361,-64.953401
29436,2/15/1978 20:00,lima (peru),,,circle,120,two minutes,A brilliant&#44 white&#44silent  circular light moving above us from southwest to the northeast.,9/24/2003,0.0,0.0
29438,2/15/1980 13:00,gisborne (new zealand),,nz,cylinder,120,2mins,I was in New Zealand for a working holiday&#44 and a group of us went north of Gisbourn to a cool pub on the beach&#44  it was about 1:00 pm,4/12/2013,-38.662334,178.017649
29442,2/15/1983 02:00,s&atilde;o paulo (brazil),,br,disk,300,5 minutes,A solid&#44 &quot;Yo-Yo&quot; shaped craft with lights seen in S&atilde;o Paulo&#44 Brazil in 1983. Followed by weather phenomenon.,4/27/2003,-23.550520000000002,-46.633309000000004
29458,2/15/1991 15:00,hafer al ban (saudi arabia),,,other,300,3-5 minutes,Feb 1991 Gulf War Desert Storm UFO Sighting very close- about 3 stories off the ground,5/12/2009,0.0,0.0
