86,1293,"25.317645000000002, 82.97391400000001","Railwayganj Colony, Cantonment, Varanasi, Vārānasi, Varanasi, Uttar Pradesh, 221002, India"
87,1316,"9.512017, 100.013593","360, Mae Nam 1, เกาะสมุย, จังหวัดสุราษฎร์ธานี, 84330, ประเทศไทย"
88,1336,"39.617206, -8.652142","Junta de Freguesia de Fátima, 181, Avenida Irmã Lúcia de Jesus, Fátima, Ourém, Santarém, Médio Tejo, Centro, 2495-557, Portugal"
89,1361,"55.766667000000005, -4.1666669999999995","Maxwell Drive, Maxwellton, The Village, East Kilbride, South Lanarkshire, Scotland, G74 4HJ, United Kingdom"
90,1401,"47.497912, 19.040235","„0” kilométerkő, Clark Ádám tér, Víziváros, I. kerület, Budapest, Közép-Magyarország, 1013, Magyarország"
91,1409,"25.566699, -108.46730500000001","Greabado en Piedra 10, Blvd. Central, Guasave, Sinaloa, 81020, México"
92,1413,"53.333332999999996, -2.75","98, Westfield Road, Westfield, Runcorn, Halton, North West England, England, WA7 4DQ, United Kingdom"
93,1427,"53.5, -2.2166669999999997","Thornton Street North, Collyhurst, Manchester, Greater Manchester, North West England, England, M40 8JR, United Kingdom"
94,1428,"53.5, -2.2166669999999997","Thornton Street North, Collyhurst, Manchester, Greater Manchester, North West England, England, M40 8JR, United Kingdom"
95,1446,"52.666667000000004, -2.75","Burgs Lane, Bayston Hill, Shropshire, West Midlands, England, SY3 0AR, United Kingdom"
96,1453,"52.516667000000005, 13.4","Berliner Schloss, Schloßplatz, Mitte, Berlin, 10178, Deutschland"
97,1468,"31.596553999999998, 130.55711599999998","鹿児島市役所, 鹿児島蒲生線, 大黒町, 山下町, 鹿児島市, 鹿児島県, 892-8677, 日本"
98,1469,"28.535515999999998, 77.391026","Dadri Road, Sector 48, Noida Special Economic Zone, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India"
99,1476,"-44.396972, 171.254973","22, George Street, Seaview, Timaru, Timaru District, Canterbury, 7910, New Zealand / Aotearoa"
100,1479,"56.11666700000001, -3.166667","Marchmont Care Home, 24, Bennochy Road, Merchants’ Quarter, Hayfield, Kirkcaldy, Fife, Scotland, KY2 5QY, United Kingdom"
101,1494,"-37.953410999999996, 176.990801","Whakatane, Whakatāne District, Bay of Plenty, 3120, New Zealand / Aotearoa"
102,1528,"12.295810000000001, 76.639381","Maharshi First Grade College, Vishnuvardhana Road, Chamarajapuram, Mysuru, Mysuru taluk, Mysuru district, Karnataka, 570001, India"
103,1530,"53.55, -2.1166669999999996","Trinity Street, Coldhurst, Royton, Oldham, Greater Manchester, North West England, England, OL1 2XU, United Kingdom"
104,1543,"38.541057, -0.122494","Residencial Paraiso, Calle del Esperanto, Llevant - Levante, Benidorm, la Marina Baixa, Alacant / Alicante, Comunitat Valenciana, HTTPS://ES-ES.FACEBOOK.COM/THENEWROVERSRETURNBENIDORM/, España"
105,1558,"55.833332999999996, -4.25","Boyd Street, Govanhill, Glasgow, Glasgow City, Scotland, G42 8AF, United Kingdom"
106,1571,"50.766667, 0.1","Esplanade, Seaford, Lewes, East Sussex, South East England, England, BN25 1JP, United Kingdom"
107,1572,"51.183333000000005, 0.283333","Weald of Kent Grammar School, Tudeley Lane, Brook Street, Tonbridge, Tonbridge and Malling, Kent, South East England, England, TN9 2JP, United Kingdom"
108,1608,"16.691308, 74.244866","Jagdale Colony, Rajarampuri, Kolhapur, Kolhapur district, Maharashtra, 416004, India"
109,1631,"22.564254000000002, 114.229432","恩上公路, 海山街道, 盐田区, 深圳市, 广东省, 518000, 中国"
110,1650,"3.8249730000000004, 103.3239","Kampung Bukit Ubi, Kuantan, Pahang, 25000, Malaysia"
111,1660,"19.876165, 75.343314","Bagga international, Jalna Road, rokdiya hanuman colony, Cidco, Aurangabad, Maharashtra, 431002, India"
112,1665,"-27.471009999999996, 153.024292","Myer Centre, 91, Queen Street, Brisbane City, Queensland, 4000, Australia"
113,1688,"8.454236, 124.63189799999999","Apitong Street, Cala-Cala, Balulang, Cagayan de Oro, Misamis Oriental, Northern Mindanao, 9000, Luzon"
114,1693,"54.978252000000005, -1.61778","King George VI Building, Brewery Lane, Haymarket, Newcastle upon Tyne, Tyne and Wear, North East England, England, NE1 4LB, United Kingdom"
115,1714,"51.676111, -4.156667","Mansel Street, Tyshia, Llanelli, Sir Gaerfyrddin / Carmarthenshire, Cymru / Wales, SA15 1DA, United Kingdom"
116,1730,"38.173168, 20.489973000000003","Ανδρέα Μεταξά, Αργοστόλι, Δήμος Κεφαλληνίας, Περιφερειακή Ενότητα Κεφαλληνίας, Περιφέρεια Ιονίων Νήσων, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 28100, Ελλάς"
117,1738,"10.063611, -69.334722","calle 44, Barquisimeto, Parroquia Concepción, Municipio Iribarren, Lara, Región Centroccidental, 30001, Venezuela"
118,1739,"17.385044, 78.486671","Womens College to Esamia Bazar Road, Esamia Bazaar, Ward 78 Gunfoundry, Greater Hyderabad Municipal Corporation Central Zone, Nampally mandal, Hyderabad, Telangana, 500095, India"
