,location
3766,"44.38747, -97.550354"
3772,"32.272812, -99.45615500000001"
3786,"44.139644, 12.246429"
3789,"64.282327, -135.0"
3800,"36.386022, -79.290213"
3807,"51.517083, 0.578411"
3808,"51.243942, 5.714222"
3810,"20.679606, -103.265105"
3825,"45.525974, -73.34066800000001"
3827,"39.418677, -82.599329"
3828,"-20.744222, 116.804227"
3843,"42.731893, -83.072964"
3862,"0.0, 0.0"
3885,"38.910841, -94.382172"
3897,"45.410785, -73.681487"
3903,"23.063655999999998, -109.70243799999999"
3916,"40.712784, -74.005941"
3921,"44.356574, -78.74075400000001"
3925,"36.954723, -76.268783"
3933,"38.917488, -77.237997"
3936,"34.690083, 135.195511"
3941,"46.442793, -67.613276"
3944,"22.543098999999998, 114.057868"
3957,"32.776475, -79.931051"
3961,"32.624539, -115.452262"
3962,"28.635308000000002, 77.22496"
3965,"41.853552, -71.467664"
3966,"0.0, 0.0"
3973,"33.234283000000005, -97.586139"
3981,"32.715738, -117.161084"
3982,"0.0, 0.0"
3986,"42.53003, -82.950156"
3987,"42.53003, -82.950156"
3989,"52.266213, -8.269886"
3997,"43.001143, -84.559152"
4002,"64.282327, -135.0"
4004,"0.0, 0.0"
4013,"41.001764, -73.665683"
4041,"35.88808, -106.306972"
4058,"38.737053, -77.247283"
4066,"44.558803000000005, -72.577841"
4067,"44.558803000000005, -72.577841"
4070,"0.0, 0.0"
4075,"53.381724, -2.480044"
4094,"39.123684000000004, -76.43316999999999"
4100,"26.169691, -81.00950300000001"
4105,"38.597626, -80.454903"
4109,"18.2, -71.1"
4116,"3.0430610000000002, 101.440657"
4140,"34.786449, -92.25319300000001"
4157,"34.037243, -118.309087"
4165,"46.295656, -122.78329699999999"
4167,"39.103118, -84.51201999999999"
4168,"40.211503, -82.902771"
4173,"0.0, 0.0"
4181,"0.0, 0.0"
4197,"59.833335, 10.437209"
4207,"39.44307, -111.343607"
4236,"29.186896, -89.936737"
4242,"51.230556, 3.6775"
4262,"40.527338, 19.782979"
4276,"41.140039, -79.67903199999999"
4277,"36.20022, -81.531193"
4282,"51.394943, -0.19446"
4303,"45.702647, -82.037176"
4305,"39.163098, -87.19918100000001"
4323,"39.163098, -87.19918100000001"
4328,"41.106606, -80.965002"
4333,"39.736928000000006, -75.553649"
4364,"39.532503000000005, -119.89308999999999"
4388,"0.0, 0.0"
4398,"0.0, 0.0"
4403,"0.0, 0.0"
4404,"19.075984, 72.877656"
4406,"31.325737, -93.398504"
4413,"59.329322999999995, 18.068581"
4414,"47.710982, -118.940846"
4416,"0.0, 0.0"
4425,"45.209508, -123.228733"
4426,"40.883316, 21.022195999999997"
4428,"-29.85868, 31.02184"
4430,"20.653407, -105.22533200000001"
4433,"41.447569, -71.52466700000001"
4435,"65.964567, 29.188827000000003"
4439,"47.626208, -122.521245"
4447,"-34.603722999999995, -58.381593"
4448,"36.778261, -119.41793200000001"
4455,"33.689921000000005, -117.772922"
4463,"40.78306, -73.971249"
4464,"35.126413, 33.429859"
4470,"50.800657, -1.9844950000000001"
4471,"32.876563, -84.32686700000001"
4478,"0.0, 0.0"
4481,"0.0, 0.0"
4499,"-46.163992, 169.87505"
4503,"0.0, 0.0"
4524,"32.972578999999996, -96.834854"
4527,"44.840798, -93.29828"
4531,"20.588793, -100.389888"
4543,"0.0, 0.0"
4545,"40.447631, -105.01088700000001"
4578,"39.006699, -77.42913"
4591,"39.927429, -74.726579"
4593,"33.515366, -79.059836"
4602,"33.730664000000004, -87.284447"
4603,"47.677683, -116.78046599999999"
4620,"36.858838, -120.456007"
