,location
5027,"51.505833, -3.577222"
5069,"19.432608, -99.133208"
5070,"25.187459, 55.405636"
5073,"-0.95, 100.35305600000001"
5096,"50.395140000000005, -3.513924"
5131,"52.016667, -4.8333330000000005"
5164,"52.466667, -1.916667"
5165,"52.850951, 6.605745"
5171,"51.45, -2.583333"
5172,"0.0, 0.0"
5197,"53.0, -2.183333"
5203,"52.25, -0.883333"
5208,"13.727896, 100.524123"
5231,"-34.603722999999995, -58.381593"
5242,"53.5, -2.2166669999999997"
5265,"28.635308000000002, 77.22496"
5322,"53.0, -2.183333"
5323,"0.0, 0.0"
5327,"54.13564, -1.527334"
5333,"54.91194399999999, -1.383333"
5345,"-29.85868, 31.02184"
5349,"56.5, -2.9666669999999997"
5351,"36.510071, -4.882447"
5352,"-31.952240000000003, 115.861397"
5355,"0.0, 0.0"
5383,"37.967836, -122.332649"
5387,"0.0, 0.0"
5402,"59.91386899999999, 10.752245"
5407,"31.554606, 74.357158"
5447,"0.0, 0.0"
5481,"0.0, 0.0"
5486,"38.078918, 13.512364999999999"
5534,"48.208174, 16.373819"
5536,"52.366667, -1.4"
5537,"7.189464, 79.858734"
5559,"22.572646, 88.363895"
5566,"3.1390029999999998, 101.68685500000001"
5569,"19.340018, 73.77573199999999"
5581,"58.266667000000005, 16.483333"
5592,"49.850429999999996, -73.60517"
5629,"55.833332999999996, -4.25"
5682,"52.133333, -0.45"
5718,"-33.933333000000005, 147.25"
5773,"50.711164000000004, -2.4411810000000003"
5774,"50.711164000000004, -2.4411810000000003"
5790,"36.091848999999996, 28.085665000000002"
5803,"12.879721, 121.77401699999999"
5817,"52.730854, 5.1521930000000005"
5825,"50.843196, 3.2347200000000003"
5829,"22.804567000000002, 86.202875"
5872,"26.13, 50.555"
5913,"14.743885, 121.067552"
5915,"19.70595, -101.194982"
5916,"19.70595, -101.194982"
5917,"-33.137551, 81.826172"
5922,"29.369721999999996, 47.978333"
5926,"52.083333, -2.75"
5940,"32.514947, -117.038247"
5942,"44.563889, 27.366111"
6002,"0.0, 0.0"
6006,"53.829579, -2.597118"
6048,"0.0, 0.0"
6054,"1.352083, 103.819836"
6058,"-27.471009999999996, 153.024292"
6068,"41.265988, 1.602034"
6082,"-32.24295, 148.604843"
6088,"-23.933332999999998, 151.35"
6089,"-23.9475, 151.374878"
6125,"40.822072, 140.747365"
6127,"57.166667000000004, -2.666667"
6138,"53.316667, -3.1"
6159,"49.9935, 36.230383"
6165,"-33.861481, 151.205475"
6166,"51.514125, -0.093689"
6169,"53.38333299999999, -2.6"
6185,"42.20207, 25.324854000000002"
6190,"52.355518, -1.17432"
6193,"51.514125, -0.093689"
6311,"53.567471, -0.08078400000000001"
6318,"-24.416667, 150.5"
6349,"53.5, -2.2166669999999997"
6453,"51.514125, -0.093689"
6461,"-25.274398, 133.775136"
6492,"48.188188000000004, 17.257228"
6494,"53.5, -2.2166669999999997"
6502,"51.883333, 0.9"
6512,"51.514125, -0.093689"
6527,"52.05, -2.7166669999999997"
6538,"33.886917, 9.537499"
6543,"0.0, 0.0"
6549,"52.466667, -1.916667"
6560,"52.355817, -7.6902550000000005"
6588,"30.316495, 78.03219200000001"
6598,"-33.382588, 151.354051"
6634,"11.35, 77.733333"
6686,"28.635308000000002, 77.22496"
6736,"55.833332999999996, -4.25"
6760,"51.131258, -0.987425"
6792,"0.0, 0.0"
6817,"36.183333000000005, 5.4"
6889,"15.299326999999998, 74.12399599999999"
6893,"43.926896, 2.146343"
6901,"51.514125, -0.093689"
6902,"10.666667, -61.516667000000005"
6913,"55.833332999999996, -4.25"
6919,"5.976474, 116.11577700000001"
6924,"32.162413, 34.844675"
6938,"33.325, 44.422"
6952,"41.805698, 123.431475"
6963,"60.631811, 24.857882999999998"
6971,"54.91194399999999, -1.383333"
6996,"45.5, -73.583333"
7001,"51.483333, 0.333333"
7017,"36.019018, 129.343481"
7029,"44.860556, 24.867778"
7053,"50.716667, -1.166667"
7082,"0.0, 0.0"
7085,"0.0, 0.0"
7099,"6.168561, 116.234834"
7106,"54.2, -5.883333"
7149,"0.0, 0.0"
7150,"32.110859999999995, 76.536253"
7176,"-27.616667, 152.76666699999998"
7177,"-30.747007, 121.474861"
7181,"49.186823, -2.106568"
7196,"57.166667000000004, -2.666667"
7221,"0.0, 0.0"
7254,"13.052414, 80.250825"
7264,"9.512017, 100.013593"
7265,"9.512017, 100.013593"
7289,"37.566534999999995, 126.97796899999999"
7302,"54.416667000000004, -7.2"
7308,"53.758683999999995, 10.936472"
7315,"-34.46825, 138.99766499999998"
7316,"19.325936, -70.816455"
7317,"42.657798, 21.153346"
7328,"0.0, 0.0"
7329,"52.466667, -1.916667"
7336,"52.355084999999995, 6.659864999999999"
7341,"52.355518, -1.17432"
7349,"40.760670000000005, -8.708203999999999"
7361,"0.0, 0.0"
7362,"51.362963, 5.213639"
7371,"36.204824, 138.252924"
7377,"52.8, -1.483333"
7406,"34.033333, -5.0"
7422,"50.966667, 0.1"
7423,"52.3, -1.533333"
7426,"50.8, -0.366667"
7432,"18.918611, -99.234167"
7490,"-37.931671, 145.440933"
7502,"0.0, 0.0"
7514,"49.663613, 2.528073"
7536,"33.888628999999995, 35.495478999999996"
7540,"51.626281, 0.080647"
7541,"53.416667000000004, -3.0"
7544,"26.3351, 17.228331"
7575,"-35.383882, -71.447192"
7577,"53.65, -1.7833330000000003"
7586,"53.533333, -1.116667"
7587,"-31.952240000000003, 115.861397"
7603,"51.767787, 0.087806"
7604,"51.586357, -2.102834"
7610,"52.755637, -0.9475530000000001"
7625,"53.166667000000004, -1.583333"
7641,"52.794171, 7.2368369999999995"
7650,"53.36666700000001, -1.5"
7665,"-20.166667, 57.516667000000005"
7708,"53.605548, -6.656417"
7732,"7.126777000000001, 80.564677"
7733,"52.111000000000004, 8.9497"
7761,"32.068424, 34.824785"
7762,"53.533333, -2.6166669999999996"
7766,"10.473523, -84.01674200000001"
7768,"33.900128, 35.572616"
7770,"5.976474, 116.11577700000001"
7797,"43.856259, 18.413076"
7806,"57.149563, 24.860332999999997"
7815,"43.508132, 16.440193"
7820,"5.976474, 116.11577700000001"
7909,"49.366667, 7.5833330000000005"
7943,"0.0, 0.0"
7949,"51.504286, -3.576945"
7951,"-31.952240000000003, 115.861397"
7953,"31.952856, -102.17169399999999"
7955,"56.11666700000001, -3.95"
